data,estabelecimento,produto,grandeza,quantidade_comprada,valor_unitario,quantidade,valor_total
28/03/2026,SUPERMERCADO DA FAMILIA S/A,FARINHA TRIGO ROSA BRANCA ESP.1kg,UN,-,"3,99",1,"3,99"
28/03/2026,SUPERMERCADO DA FAMILIA S/A,MILHO P/PIPOCA TURQUESA 500G,UN,-,"3,79",1,"3,79"
28/03/2026,SUPERMERCADO DA FAMILIA S/A,ARROZ INTEGRAL EMOCOES 1kg,UN,-,"4,99",1,"4,99"
28/03/2026,SUPERMERCADO DA FAMILIA S/A,FEIJAO PRETO QUERO QUERO 1kg,UN,-,"6,89",1,"6,89"
28/03/2026,SUPERMERCADO DA FAMILIA S/A,LEITE PO CAMPONESA INT.200G,UN,-,"6,39",5,"31,95"
28/03/2026,SUPERMERCADO DA FAMILIA S/A,LEITE EM PO INTEG.CONFIANCA 200G,UN,-,"5,49",1,"5,49"
28/03/2026,SUPERMERCADO DA FAMILIA S/A,ARROZ INTEGRAL EMOCOES 1kg,UN,-,"4,99",1,"4,99"
28/03/2026,SUPERMERCADO DA FAMILIA S/A,FEIJAO MACASSAR QUERO QUERO 1kg,UN,-,"6,79",1,"6,79"
28/03/2026,SUPERMERCADO DA FAMILIA S/A,ACUCAR CRISTAL IPOJUCA 1kg,UN,-,"2,89",1,"2,89"
28/03/2026,SUPERMERCADO DA FAMILIA S/A,FEIJAO PRETO QUERO QUERO 1kg,UN,-,"6,89",1,"6,89"
28/03/2026,SUPERMERCADO DA FAMILIA S/A,FEIJAO PRETO QUERO QUERO 1kg,UN,-,"6,89",1,"6,89"
28/03/2026,SUPERMERCADO DA FAMILIA S/A,BISC.MARIA CAPRICCHE TRAD.312G,UN,-,"3,99",1,"3,99"
28/03/2026,SUPERMERCADO DA FAMILIA S/A,FARINHA D MILHO FLOCADA FLOKAO 400G,UN,-,"0,99",10,"9,90"
28/03/2026,SUPERMERCADO DA FAMILIA S/A,SAB.EVEN SUAVE 85G BUQUE ROSAS,UN,-,"1,79",1,"1,79"
28/03/2026,SUPERMERCADO DA FAMILIA S/A,SAB.EVEN SUAVE 85G LIMAO E CHA VERDE,UN,-,"1,79",1,"1,79"
28/03/2026,SUPERMERCADO DA FAMILIA S/A,SAB.EVEN SUAVE 85G PITANGA E ACEROLA,UN,-,"1,79",1,"1,79"
28/03/2026,SUPERMERCADO DA FAMILIA S/A,SAB.EVEN SUAVE 85G FLORES E BURITI,UN,-,"1,79",1,"1,79"
28/03/2026,SUPERMERCADO DA FAMILIA S/A,FRANGO CONG. INATURA kg NATTO,KG,-,"11,99","1,964","23,55"
28/03/2026,SUPERMERCADO DA FAMILIA S/A,LING.CALABRESA PERDIGAO 400G,UN,-,"9,99",1,"9,99"
28/03/2026,SUPERMERCADO DA FAMILIA S/A,AGUA SANITARIA CLORITO 1L,UN,-,"1,49",1,"1,49"
28/03/2026,SUPERMERCADO DA FAMILIA S/A,AZEITE OLIVA EXT.VIRGEM BORGES 500M,UN,-,"27,99",1,"27,99"
28/03/2026,SUPERMERCADO DA FAMILIA S/A,LEITE COND.SABE SEMIDESNATADO 395G,UN,-,"4,99",1,"4,99"
28/03/2026,SUPERMERCADO DA FAMILIA S/A,LEITE COND.SABE SEMIDESNATADO 395G,UN,-,"4,99",1,"4,99"
28/03/2026,SUPERMERCADO DA FAMILIA S/A,ESPONJA MULTIUSO BRILHEX LV4 PG3,UN,-,"3,99",1,"3,99"
28/03/2026,SUPERMERCADO DA FAMILIA S/A,QUEIJO MUSSARELA kg FATIADO,KG,-,"31,99","0,302","9,66"
28/03/2026,SUPERMERCADO DA FAMILIA S/A,PRESUNTO PERU PERDIGAO kg,KG,-,"34,99","0,332","11,62"
28/03/2026,SUPERMERCADO DA FAMILIA S/A,UVA BENITAK VERDAO 500G,UN,-,"5,99",1,"5,99"
28/03/2026,SUPERMERCADO DA FAMILIA S/A,ACHOC.PURELAC 400G,UN,-,"6,79",1,"6,79"
28/03/2026,SUPERMERCADO DA FAMILIA S/A,JERIMUM LEITE kg,KG,-,"2,99","1,756","5,25"
28/03/2026,SUPERMERCADO DA FAMILIA S/A,HAMBURGER CARNE MISTA TONY 56G,CX,-,"35,64",1,"35,64"
28/03/2026,SUPERMERCADO DA FAMILIA S/A,OVOS BRANCO GRAD NATTO BDJ.30UN,UN,-,"16,99",1,"16,99"
28/03/2026,SUPERMERCADO DA FAMILIA S/A,OVOS BRANCO GRAD NATTO BDJ.30UN,UN,-,"16,99",1,"16,99"
28/03/2026,SUPERMERCADO DA FAMILIA S/A,OVOS BRANCO GRAD NATTO BDJ.30UN,UN,-,"16,99",1,"16,99"
28/03/2026,SUPERMERCADO DA FAMILIA S/A,OVOS BRANCO GRAD NATTO BDJ.30UN,UN,-,"16,99",1,"16,99"
